,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
423,383,Groudon,Ground,,670,100,150,140,100,90,90,3,True
424,383,GroudonPrimal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,True
425,384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,True
426,384,RayquazaMega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,3,True
427,385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,True
432,387,Turtwig,Grass,,318,55,68,64,45,55,31,4,False
433,388,Grotle,Grass,,405,75,89,85,55,65,36,4,False
434,389,Torterra,Grass,Ground,525,95,109,105,75,85,56,4,False
436,391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,False
437,392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,4,False
438,393,Piplup,Water,,314,53,51,53,61,56,40,4,False
439,394,Prinplup,Water,,405,64,66,68,81,76,50,4,False
440,395,Empoleon,Water,Steel,530,84,86,88,111,101,60,4,False
442,397,Staravia,Normal,Flying,340,55,75,50,40,40,80,4,False
443,398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,False
444,399,Bidoof,Normal,,250,59,45,40,35,40,31,4,False
445,400,Bibarel,Normal,Water,410,79,85,60,55,60,71,4,False
447,402,Kricketune,Bug,,384,77,85,51,55,51,65,4,False
449,404,Luxio,Electric,,363,60,85,49,60,49,60,4,False
450,405,Luxray,Electric,,523,80,120,79,95,79,70,4,False
452,407,Roserade,Grass,Poison,515,60,70,65,125,105,90,4,False
453,408,Cranidos,Rock,,350,67,125,40,30,30,58,4,False
454,409,Rampardos,Rock,,495,97,165,60,65,50,58,4,False
456,411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,4,False
458,413,WormadamPlant Cloak,Bug,Grass,424,60,59,85,79,105,36,4,False
459,413,WormadamSandy Cloak,Bug,Ground,424,60,79,105,59,85,36,4,False
460,413,WormadamTrash Cloak,Bug,Steel,424,60,69,95,69,95,36,4,False
461,414,Mothim,Bug,Flying,424,70,94,50,94,50,66,4,False
463,416,Vespiquen,Bug,Flying,474,70,80,102,80,102,40,4,False
464,417,Pachirisu,Electric,,405,60,45,70,45,90,95,4,False
465,418,Buizel,Water,,330,55,65,35,60,30,85,4,False
466,419,Floatzel,Water,,495,85,105,55,85,50,115,4,False
468,421,Cherrim,Grass,,450,70,60,70,87,78,85,4,False
469,422,Shellos,Water,,325,76,48,48,57,62,34,4,False
470,423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,False
471,424,Ambipom,Normal,,482,75,100,66,60,66,115,4,False
472,425,Drifloon,Ghost,Flying,348,90,50,34,60,44,70,4,False
473,426,Drifblim,Ghost,Flying,498,150,80,44,90,54,80,4,False
474,427,Buneary,Normal,,350,55,66,44,44,56,85,4,False
475,428,Lopunny,Normal,,480,65,76,84,54,96,105,4,False
476,428,LopunnyMega Lopunny,Normal,Fighting,580,65,136,94,54,96,135,4,False
477,429,Mismagius,Ghost,,495,60,60,60,105,105,105,4,False
478,430,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,4,False
480,432,Purugly,Normal,,452,71,82,64,64,59,112,4,False
482,434,Stunky,Poison,Dark,329,63,63,47,41,41,74,4,False
483,435,Skuntank,Poison,Dark,479,103,93,67,71,61,84,4,False
484,436,Bronzor,Steel,Psychic,300,57,24,86,24,86,23,4,False
485,437,Bronzong,Steel,Psychic,500,67,89,116,79,116,33,4,False
488,440,Happiny,Normal,,220,100,5,5,15,65,30,4,False
489,441,Chatot,Normal,Flying,411,76,65,45,92,42,91,4,False
491,443,Gible,Dragon,Ground,300,58,70,45,40,45,42,4,False
492,444,Gabite,Dragon,Ground,410,68,90,65,50,55,82,4,False
493,445,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,4,False
494,445,GarchompMega Garchomp,Dragon,Ground,700,108,170,115,120,95,92,4,False
495,446,Munchlax,Normal,,390,135,85,40,40,85,5,4,False
497,448,Lucario,Fighting,Steel,525,70,110,70,115,70,90,4,False
498,448,LucarioMega Lucario,Fighting,Steel,625,70,145,88,140,70,112,4,False
499,449,Hippopotas,Ground,,330,68,72,78,38,42,32,4,False
500,450,Hippowdon,Ground,,525,108,112,118,68,72,47,4,False
502,452,Drapion,Poison,Dark,500,70,90,110,60,75,95,4,False
504,454,Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,4,False
505,455,Carnivine,Grass,,454,74,100,72,90,72,46,4,False
507,457,Lumineon,Water,,460,69,69,76,69,86,91,4,False
509,459,Snover,Grass,Ice,334,60,62,50,62,60,40,4,False
510,460,Abomasnow,Grass,Ice,494,90,92,75,92,85,60,4,False
511,460,AbomasnowMega Abomasnow,Grass,Ice,594,90,132,105,132,105,30,4,False
512,461,Weavile,Dark,Ice,510,70,120,65,45,85,125,4,False
513,462,Magnezone,Electric,Steel,535,70,70,115,130,90,60,4,False
514,463,Lickilicky,Normal,,515,110,85,95,80,95,50,4,False
515,464,Rhyperior,Ground,Rock,535,115,140,130,55,55,40,4,False
516,465,Tangrowth,Grass,,535,100,100,125,110,50,50,4,False
517,466,Electivire,Electric,,540,75,123,67,95,85,95,4,False
518,467,Magmortar,Fire,,540,75,95,67,125,95,83,4,False
519,468,Togekiss,Fairy,Flying,545,85,50,95,120,115,80,4,False
520,469,Yanmega,Bug,Flying,515,86,76,86,116,56,95,4,False
521,470,Leafeon,Grass,,525,65,110,130,60,65,95,4,False
522,471,Glaceon,Ice,,525,65,60,110,130,95,65,4,False
523,472,Gliscor,Ground,Flying,510,75,95,125,45,75,95,4,False
524,473,Mamoswine,Ice,Ground,530,110,130,80,70,60,80,4,False
525,474,Porygon-Z,Normal,,535,85,80,70,135,75,90,4,False
526,475,Gallade,Psychic,Fighting,518,68,125,65,65,115,80,4,False
527,475,GalladeMega Gallade,Psychic,Fighting,618,68,165,95,65,115,110,4,False
528,476,Probopass,Rock,Steel,525,60,55,145,75,150,40,4,False
530,478,Froslass,Ice,Ghost,480,70,80,70,80,70,110,4,False
537,480,Uxie,Psychic,,580,75,75,130,75,130,95,4,True
538,481,Mesprit,Psychic,,580,80,105,105,105,105,80,4,True
539,482,Azelf,Psychic,,580,75,125,70,125,70,115,4,True
540,483,Dialga,Steel,Dragon,680,100,120,120,150,100,90,4,True
541,484,Palkia,Water,Dragon,680,90,120,100,150,120,100,4,True
542,485,Heatran,Fire,Steel,600,91,90,106,130,106,77,4,True
543,486,Regigigas,Normal,,670,110,160,110,80,110,100,4,True
544,487,GiratinaAltered Forme,Ghost,Dragon,680,150,100,120,100,120,90,4,True
545,487,GiratinaOrigin Forme,Ghost,Dragon,680,150,120,100,120,100,90,4,True
546,488,Cresselia,Psychic,,600,120,70,120,75,130,85,4,False
547,489,Phione,Water,,480,80,80,80,80,80,80,4,False
548,490,Manaphy,Water,,600,100,100,100,100,100,100,4,False
549,491,Darkrai,Dark,,600,70,90,90,135,90,125,4,True
550,492,ShayminLand Forme,Grass,,600,100,100,100,100,100,100,4,True
551,492,ShayminSky Forme,Grass,Flying,600,100,103,75,120,75,127,4,True
552,493,Arceus,Normal,,720,120,120,120,120,120,120,4,True
553,494,Victini,Psychic,Fire,600,100,100,100,100,100,100,5,True
555,496,Servine,Grass,,413,60,60,75,60,75,83,5,False
556,497,Serperior,Grass,,528,75,75,95,75,95,113,5,False
557,498,Tepig,Fire,,308,65,63,45,45,45,45,5,False
558,499,Pignite,Fire,Fighting,418,90,93,55,70,55,55,5,False
559,500,Emboar,Fire,Fighting,528,110,123,65,100,65,65,5,False
560,501,Oshawott,Water,,308,55,55,45,63,45,45,5,False
561,502,Dewott,Water,,413,75,75,60,83,60,60,5,False
562,503,Samurott,Water,,528,95,100,85,108,70,70,5,False
564,505,Watchog,Normal,,420,60,85,69,60,69,77,5,False
566,507,Herdier,Normal,,370,65,80,65,35,65,60,5,False
567,508,Stoutland,Normal,,500,85,110,90,45,90,80,5,False
569,510,Liepard,Dark,,446,64,88,50,88,50,106,5,False
571,512,Simisage,Grass,,498,75,98,63,98,63,101,5,False
573,514,Simisear,Fire,,498,75,98,63,98,63,101,5,False
575,516,Simipour,Water,,498,75,98,63,98,63,101,5,False
576,517,Munna,Psychic,,292,76,25,45,67,55,24,5,False
577,518,Musharna,Psychic,,487,116,55,85,107,95,29,5,False
579,520,Tranquill,Normal,Flying,358,62,77,62,50,42,65,5,False
580,521,Unfezant,Normal,Flying,488,80,115,80,65,55,93,5,False
582,523,Zebstrika,Electric,,497,75,100,63,80,63,116,5,False
583,524,Roggenrola,Rock,,280,55,75,85,25,25,15,5,False
584,525,Boldore,Rock,,390,70,105,105,50,40,20,5,False
585,526,Gigalith,Rock,,515,85,135,130,60,80,25,5,False
586,527,Woobat,Psychic,Flying,313,55,45,43,55,43,72,5,False
587,528,Swoobat,Psychic,Flying,425,67,57,55,77,55,114,5,False
588,529,Drilbur,Ground,,328,60,85,40,30,45,68,5,False
589,530,Excadrill,Ground,Steel,508,110,135,60,50,65,88,5,False
590,531,Audino,Normal,,445,103,60,86,60,86,50,5,False
591,531,AudinoMega Audino,Normal,Fairy,545,103,60,126,80,126,50,5,False
592,532,Timburr,Fighting,,305,75,80,55,25,35,35,5,False
593,533,Gurdurr,Fighting,,405,85,105,85,40,50,40,5,False
594,534,Conkeldurr,Fighting,,505,105,140,95,55,65,45,5,False
596,536,Palpitoad,Water,Ground,384,75,65,55,65,55,69,5,False
597,537,Seismitoad,Water,Ground,509,105,95,75,85,75,74,5,False
598,538,Throh,Fighting,,465,120,100,85,30,85,45,5,False
599,539,Sawk,Fighting,,465,75,125,75,30,75,85,5,False
601,541,Swadloon,Bug,Grass,380,55,63,90,50,80,42,5,False
602,542,Leavanny,Bug,Grass,500,75,103,80,70,80,92,5,False
605,545,Scolipede,Bug,Poison,485,60,100,89,55,69,112,5,False
607,547,Whimsicott,Grass,Fairy,480,60,67,85,77,75,116,5,False
609,549,Lilligant,Grass,,480,70,60,75,110,75,90,5,False
610,550,Basculin,Water,,460,70,92,65,80,55,98,5,False
612,552,Krokorok,Ground,Dark,351,60,82,45,45,45,74,5,False
613,553,Krookodile,Ground,Dark,519,95,117,80,65,70,92,5,False
614,554,Darumaka,Fire,,315,70,90,45,15,45,50,5,False
615,555,DarmanitanStandard Mode,Fire,,480,105,140,55,30,55,95,5,False
616,555,DarmanitanZen Mode,Fire,Psychic,540,105,30,105,140,105,55,5,False
617,556,Maractus,Grass,,461,75,86,67,106,67,60,5,False
619,558,Crustle,Bug,Rock,475,70,95,125,65,75,45,5,False
621,560,Scrafty,Dark,Fighting,488,65,90,115,45,115,58,5,False
622,561,Sigilyph,Psychic,Flying,490,72,58,80,103,80,97,5,False
624,563,Cofagrigus,Ghost,,483,58,50,145,95,105,30,5,False
625,564,Tirtouga,Water,Rock,355,54,78,103,53,45,22,5,False
626,565,Carracosta,Water,Rock,495,74,108,133,83,65,32,5,False
627,566,Archen,Rock,Flying,401,55,112,45,74,45,70,5,False
628,567,Archeops,Rock,Flying,567,75,140,65,112,65,110,5,False
630,569,Garbodor,Poison,,474,80,95,82,60,82,75,5,False
632,571,Zoroark,Dark,,510,60,105,60,120,60,105,5,False
633,572,Minccino,Normal,,300,55,50,40,40,40,75,5,False
634,573,Cinccino,Normal,,470,75,95,60,65,60,115,5,False
636,575,Gothorita,Psychic,,390,60,45,70,75,85,55,5,False
637,576,Gothitelle,Psychic,,490,70,55,95,95,110,65,5,False
639,578,Duosion,Psychic,,370,65,40,50,125,60,30,5,False
640,579,Reuniclus,Psychic,,490,110,65,75,125,85,30,5,False
641,580,Ducklett,Water,Flying,305,62,44,50,44,50,55,5,False
642,581,Swanna,Water,Flying,473,75,87,63,87,63,98,5,False
644,583,Vanillish,Ice,,395,51,65,65,80,75,59,5,False
645,584,Vanilluxe,Ice,,535,71,95,85,110,95,79,5,False
646,585,Deerling,Normal,Grass,335,60,60,50,40,50,75,5,False
647,586,Sawsbuck,Normal,Grass,475,80,100,70,60,70,95,5,False
648,587,Emolga,Electric,Flying,428,55,75,60,75,60,103,5,False
650,589,Escavalier,Bug,Steel,495,70,135,105,60,105,20,5,False
651,590,Foongus,Grass,Poison,294,69,55,45,55,55,15,5,False
652,591,Amoonguss,Grass,Poison,464,114,85,70,85,80,30,5,False
653,592,Frillish,Water,Ghost,335,55,40,50,65,85,40,5,False
654,593,Jellicent,Water,Ghost,480,100,60,70,85,105,60,5,False
655,594,Alomomola,Water,,470,165,75,80,40,45,65,5,False
657,596,Galvantula,Bug,Electric,472,70,77,60,97,60,108,5,False
659,598,Ferrothorn,Grass,Steel,489,74,94,131,54,116,20,5,False
661,600,Klang,Steel,,440,60,80,95,70,85,50,5,False
662,601,Klinklang,Steel,,520,60,100,115,70,85,90,5,False
664,603,Eelektrik,Electric,,405,65,85,70,75,70,40,5,False
665,604,Eelektross,Electric,,515,85,115,80,105,80,50,5,False
666,605,Elgyem,Psychic,,335,55,55,55,85,55,30,5,False
667,606,Beheeyem,Psychic,,485,75,75,75,125,95,40,5,False
669,608,Lampent,Ghost,Fire,370,60,40,60,95,60,55,5,False
670,609,Chandelure,Ghost,Fire,520,60,55,90,145,90,80,5,False
672,611,Fraxure,Dragon,,410,66,117,70,40,50,67,5,False
673,612,Haxorus,Dragon,,540,76,147,90,60,70,97,5,False
674,613,Cubchoo,Ice,,305,55,70,40,60,40,40,5,False
675,614,Beartic,Ice,,485,95,110,80,70,80,50,5,False
676,615,Cryogonal,Ice,,485,70,50,30,95,135,105,5,False
678,617,Accelgor,Bug,,495,80,70,40,100,60,145,5,False
679,618,Stunfisk,Ground,Electric,471,109,66,84,81,99,32,5,False
681,620,Mienshao,Fighting,,510,65,125,60,95,60,105,5,False
682,621,Druddigon,Dragon,,485,77,120,90,60,90,48,5,False
683,622,Golett,Ground,Ghost,303,59,74,50,35,50,35,5,False
684,623,Golurk,Ground,Ghost,483,89,124,80,55,80,55,5,False
686,625,Bisharp,Dark,Steel,490,65,125,100,60,70,70,5,False
687,626,Bouffalant,Normal,,490,95,110,95,40,95,55,5,False
688,627,Rufflet,Normal,Flying,350,70,83,50,37,50,60,5,False
689,628,Braviary,Normal,Flying,510,100,123,75,57,75,80,5,False
690,629,Vullaby,Dark,Flying,370,70,55,75,45,65,60,5,False
691,630,Mandibuzz,Dark,Flying,510,110,65,105,55,95,80,5,False
692,631,Heatmor,Fire,,484,85,97,66,105,66,65,5,False
693,632,Durant,Bug,Steel,484,58,109,112,48,48,109,5,False
694,633,Deino,Dark,Dragon,300,52,65,50,45,50,38,5,False
695,634,Zweilous,Dark,Dragon,420,72,85,70,65,70,58,5,False
696,635,Hydreigon,Dark,Dragon,600,92,105,90,125,90,98,5,False
697,636,Larvesta,Bug,Fire,360,55,85,55,50,55,60,5,False
698,637,Volcarona,Bug,Fire,550,85,60,65,135,105,100,5,False
699,638,Cobalion,Steel,Fighting,580,91,90,129,90,72,108,5,True
700,639,Terrakion,Rock,Fighting,580,91,129,90,72,90,108,5,True
701,640,Virizion,Grass,Fighting,580,91,90,72,90,129,108,5,True
702,641,TornadusIncarnate Forme,Flying,,580,79,115,70,125,80,111,5,True
703,641,TornadusTherian Forme,Flying,,580,79,100,80,110,90,121,5,True
704,642,ThundurusIncarnate Forme,Electric,Flying,580,79,115,70,125,80,111,5,True
705,642,ThundurusTherian Forme,Electric,Flying,580,79,105,70,145,80,101,5,True
706,643,Reshiram,Dragon,Fire,680,100,120,100,150,120,90,5,True
707,644,Zekrom,Dragon,Electric,680,100,150,120,120,100,90,5,True
708,645,LandorusIncarnate Forme,Ground,Flying,600,89,125,90,115,80,101,5,True
709,645,LandorusTherian Forme,Ground,Flying,600,89,145,90,105,80,91,5,True
710,646,Kyurem,Dragon,Ice,660,125,130,90,130,90,95,5,True
711,646,KyuremBlack Kyurem,Dragon,Ice,700,125,170,100,120,90,95,5,True
712,646,KyuremWhite Kyurem,Dragon,Ice,700,125,120,90,170,100,95,5,True
713,647,KeldeoOrdinary Forme,Water,Fighting,580,91,72,90,129,90,108,5,False
714,647,KeldeoResolute Forme,Water,Fighting,580,91,72,90,129,90,108,5,False
715,648,MeloettaAria Forme,Normal,Psychic,600,100,77,77,128,128,90,5,False
716,648,MeloettaPirouette Forme,Normal,Fighting,600,100,128,90,77,77,128,5,False
717,649,Genesect,Bug,Steel,600,71,120,95,120,95,99,5,False
718,650,Chespin,Grass,,313,56,61,65,48,45,38,6,False
719,651,Quilladin,Grass,,405,61,78,95,56,58,57,6,False
720,652,Chesnaught,Grass,Fighting,530,88,107,122,74,75,64,6,False
722,654,Braixen,Fire,,409,59,59,58,90,70,73,6,False
723,655,Delphox,Fire,Psychic,534,75,69,72,114,100,104,6,False
725,657,Frogadier,Water,,405,54,63,52,83,56,97,6,False
726,658,Greninja,Water,Dark,530,72,95,67,103,71,122,6,False
728,660,Diggersby,Normal,Ground,423,85,56,77,50,77,78,6,False
730,662,Fletchinder,Fire,Flying,382,62,73,55,56,52,84,6,False
731,663,Talonflame,Fire,Flying,499,78,81,71,74,69,126,6,False
734,666,Vivillon,Bug,Flying,411,80,52,50,90,50,89,6,False
735,667,Litleo,Fire,Normal,369,62,50,58,73,54,72,6,False
736,668,Pyroar,Fire,Normal,507,86,68,72,109,66,106,6,False
738,670,Floette,Fairy,,371,54,45,47,75,98,52,6,False
739,671,Florges,Fairy,,552,78,65,68,112,154,75,6,False
740,672,Skiddo,Grass,,350,66,65,48,62,57,52,6,False
741,673,Gogoat,Grass,,531,123,100,62,97,81,68,6,False
742,674,Pancham,Fighting,,348,67,82,62,46,48,43,6,False
743,675,Pangoro,Fighting,Dark,495,95,124,78,69,71,58,6,False
744,676,Furfrou,Normal,,472,75,80,60,65,90,102,6,False
745,677,Espurr,Psychic,,355,62,48,54,63,60,68,6,False
746,678,MeowsticMale,Psychic,,466,74,48,76,83,81,104,6,False
747,678,MeowsticFemale,Psychic,,466,74,48,76,83,81,104,6,False
749,680,Doublade,Steel,Ghost,448,59,110,150,45,49,35,6,False
750,681,AegislashBlade Forme,Steel,Ghost,520,60,150,50,150,50,60,6,False
751,681,AegislashShield Forme,Steel,Ghost,520,60,50,150,50,150,60,6,False
752,682,Spritzee,Fairy,,341,78,52,60,63,65,23,6,False
753,683,Aromatisse,Fairy,,462,101,72,72,99,89,29,6,False
754,684,Swirlix,Fairy,,341,62,48,66,59,57,49,6,False
755,685,Slurpuff,Fairy,,480,82,80,86,85,75,72,6,False
756,686,Inkay,Dark,Psychic,288,53,54,53,37,46,45,6,False
757,687,Malamar,Dark,Psychic,482,86,92,88,68,75,73,6,False
759,689,Barbaracle,Rock,Water,500,72,105,115,54,86,68,6,False
761,691,Dragalge,Poison,Dragon,494,65,75,90,97,123,44,6,False
763,693,Clawitzer,Water,,500,71,73,88,120,89,59,6,False
765,695,Heliolisk,Electric,Normal,481,62,55,52,109,94,109,6,False
766,696,Tyrunt,Rock,Dragon,362,58,89,77,45,45,48,6,False
767,697,Tyrantrum,Rock,Dragon,521,82,121,119,69,59,71,6,False
768,698,Amaura,Rock,Ice,362,77,59,50,67,63,46,6,False
769,699,Aurorus,Rock,Ice,521,123,77,72,99,92,58,6,False
770,700,Sylveon,Fairy,,525,95,65,65,110,130,60,6,False
771,701,Hawlucha,Fighting,Flying,500,78,92,75,74,63,118,6,False
772,702,Dedenne,Electric,Fairy,431,67,58,57,81,67,101,6,False
775,705,Sliggoo,Dragon,,452,68,75,53,83,113,60,6,False
776,706,Goodra,Dragon,,600,90,100,70,110,150,80,6,False
777,707,Klefki,Steel,Fairy,470,57,80,91,80,87,75,6,False
779,709,Trevenant,Ghost,Grass,474,85,110,76,65,82,56,6,False
782,710,PumpkabooLarge Size,Ghost,Grass,335,54,66,70,44,55,46,6,False
783,710,PumpkabooSuper Size,Ghost,Grass,335,59,66,70,44,55,41,6,False
784,711,GourgeistAverage Size,Ghost,Grass,494,65,90,122,58,75,84,6,False
785,711,GourgeistSmall Size,Ghost,Grass,494,55,85,122,58,75,99,6,False
786,711,GourgeistLarge Size,Ghost,Grass,494,75,95,122,58,75,69,6,False
787,711,GourgeistSuper Size,Ghost,Grass,494,85,100,122,58,75,54,6,False
788,712,Bergmite,Ice,,304,55,69,85,32,35,28,6,False
789,713,Avalugg,Ice,,514,95,117,184,44,46,28,6,False
791,715,Noivern,Flying,Dragon,535,85,70,80,97,80,123,6,False
792,716,Xerneas,Fairy,,680,126,131,95,131,98,99,6,True
793,717,Yveltal,Dark,Flying,680,126,131,95,131,98,99,6,True
794,718,Zygarde50% Forme,Dragon,Ground,600,108,100,121,81,95,95,6,True
797,720,HoopaHoopa Confined,Psychic,Ghost,600,80,110,60,150,130,70,6,True
798,720,HoopaHoopa Unbound,Psychic,Dark,680,80,160,60,170,130,80,6,True
799,721,Volcanion,Fire,Water,600,80,110,120,130,90,70,6,True
